iter	Passed	Remaining
0	244	48676
1	490	48576
2	743	48826
3	999	48988
4	1197	46705
5	1410	45619
6	1675	46184
7	1918	46049
8	2137	45359
9	2358	44811
10	2621	45042
11	2861	44826
12	3102	44623
13	3323	44157
14	3556	43867
15	3776	43431
16	4060	43708
17	4341	43895
18	4579	43623
19	4831	43486
20	5074	43251
21	5364	43404
22	5592	43041
23	5815	42650
24	6023	42161
25	6261	41901
26	6505	41685
27	6725	41314
28	6958	41028
29	7205	40828
30	7390	40292
31	7668	40259
32	7887	39913
33	8193	40004
34	8474	39952
35	8714	39699
36	8934	39361
37	9193	39194
38	9439	38967
39	9710	38840
40	9945	38568
41	10248	38553
42	10513	38385
43	10819	38358
44	11064	38112
45	11276	37751
46	11505	37453
47	11772	37278
48	11960	36856
49	12185	36557
50	12422	36292
51	12669	36060
52	12992	36036
53	13272	35884
54	13515	35631
55	13754	35369
56	14076	35313
57	14359	35155
58	14639	34986
59	14993	34985
60	15219	34681
61	15515	34533
62	15837	34439
63	16137	34293
64	16360	33979
65	16647	33799
66	17028	33803
67	17433	33841
68	17765	33729
69	18192	33785
70	18576	33751
71	18954	33696
72	19266	33518
73	19643	33446
74	19945	33242
75	20284	33095
76	20563	32848
77	20897	32685
78	21140	32379
79	21396	32094
80	21549	31658
81	21817	31396
82	22084	31131
83	22317	30819
84	22697	30708
85	23091	30609
86	23417	30415
87	23745	30222
88	23985	29915
89	24366	29781
90	24840	29754
91	25104	29470
92	25378	29198
93	25679	28957
94	25962	28695
95	26328	28522
96	26647	28295
97	26988	28090
98	27252	27803
99	27465	27465
100	27755	27205
101	28168	27064
102	28581	26916
103	28868	26647
104	29192	26412
105	29495	26156
106	29831	25928
107	30196	25722
108	30502	25465
109	30739	25150
110	31009	24863
111	31249	24553
112	31511	24261
113	31788	23980
114	32129	23747
115	32389	23454
116	32678	23182
117	32940	22890
118	33195	22595
119	33513	22342
120	33816	22078
121	34055	21773
122	34285	21463
123	34536	21167
124	34818	20890
125	34998	20554
126	35224	20247
127	35482	19959
128	35722	19661
129	35989	19379
130	36257	19097
131	36546	18827
132	36754	18515
133	37088	18267
134	37342	17979
135	37597	17693
136	37831	17397
137	38071	17104
138	38347	16828
139	38595	16541
140	38897	16276
141	39209	16015
142	39537	15759
143	39853	15498
144	40143	15226
145	40476	14970
146	40863	14733
147	41215	14481
148	41520	14211
149	41807	13935
150	42104	13662
151	42454	13406
152	42861	13166
153	43160	12892
154	43429	12608
155	43723	12332
156	43978	12045
157	44287	11772
158	44665	11517
159	44946	11236
160	45253	10962
161	45503	10673

162	45621	10355
163	45896	10074
164	46207	9801
165	46703	9565
166	46985	9284
167	47198	8990
168	47534	8719

169	47453	8374
170	47896	8122
171	48221	7850
172	48435	7559
173	48704	7277
174	49046	7006
175	49364	6731
176	49820	6473
177	50098	6191
178	50389	5911
179	50693	5632
	49875	5235
181	50185	4963
182	50438	4685
183	50670	4406
184	50968	4132
185	51198	3853
186	51558	3584
187	51849	3309
188	52157	3035
189	52389	2757
190	52735	2484
