iter	Passed	Remaining
0	36	18022
1	67	16893
2	120	19995
3	158	19625
4	194	19212
5	228	18850
6	261	18444
7	298	18330
8	332	18121
9	366	17972
10	414	18415
11	455	18527
12	498	18666
13	536	18635
14	571	18490
15	606	18344
16	639	18181
17	678	18156
18	714	18080
19	741	17796
20	779	17773
21	813	17674
22	848	17589
23	882	17506
24	922	17523
25	967	17645
26	1003	17572
27	1046	17634
28	1089	17695
29	1125	17628
30	1161	17566
31	1198	17533
32	1231	17425
33	1263	17315
34	1295	17214
35	1327	17115
36	1359	17018
37	1396	16981
38	1433	16950
39	1475	16972
40	1516	16979
41	1559	17008
42	1594	16948
43	1629	16883
44	1665	16844
45	1706	16844
46	1746	16837
47	1782	16781
48	1813	16688
49	1845	16613
50	1877	16525
51	1907	16435
52	1939	16354
53	1971	16285
54	2002	16203
55	2037	16154
56	2076	16140
57	2110	16083
58	2147	16052
59	2189	16056
60	2221	15989
61	2255	15934
62	2289	15878
63	2322	15820
64	2354	15756
65	2393	15737
66	2430	15710
67	2472	15708
68	2509	15677
69	2541	15613
70	2574	15557
71	2608	15503
72	2645	15474
73	2677	15416
74	2713	15377
75	2761	15405
76	2802	15395
77	2840	15365
78	2874	15320
79	2908	15267
80	2943	15224
81	2983	15208
82	3019	15169
83	3056	15137
84	3090	15087
85	3124	15041
86	3173	15066
87	3219	15074
88	3258	15046
89	3292	14999
90	3332	14977
91	3366	14927
92	3381	14798
93	3417	14762
94	3455	14730
95	3493	14701
96	3534	14685
97	3581	14691
98	3633	14715
99	3674	14696
100	3716	14683
101	3763	14686
102	3802	14655
103	3846	14645
104	3886	14621
105	3930	14609
106	3973	14592
107	4021	14595
108	4069	14597
109	4113	14585
110	4154	14558
111	4248	14716
112	4356	14919
113	4462	15110
114	4531	15172
115	4693	15538
116	4783	15657
117	4868	15761
118	4936	15805
119	4990	15802
120	5110	16007
121	5163	15998
122	5215	15985
123	5266	15970
124	5334	16002
125	5376	15959
126	5415	15905
127	5443	15819
128	5488	15784
129	5523	15721
130	5539	15605
131	5577	15550
132	5613	15489
133	5656	15450
134	5696	15402
135	5740	15363
136	5778	15311
137	5821	15271
138	5857	15211
139	5894	15158
140	5932	15104
141	5977	15070
142	6015	15018
143	6057	14975
144	6096	14925
145	6131	14867
146	6169	14814
147	6204	14755
148	6239	14699
149	6275	14642
150	6312	14590
151	6347	14533
152	6378	14467
153	6409	14401
154	6441	14337
155	6473	14273
156	6504	14210
157	6537	14149
158	6568	14087
159	6600	14026
160	6635	13972
161	6672	13920
162	6707	13866
163	6744	13818
164	6784	13774
165	6824	13731
166	6859	13678
167	6891	13619
168	6924	13561
169	6956	13503
170	6988	13446
171	7020	13388
172	7059	13343
173	7097	13298
174	7146	13271
175	7191	13239
176	7236	13205
177	7314	13231
178	7370	13218
179	7413	13179
180	7453	13136
181	7494	13095
182	7573	13118
183	7630	13104
184	7649	13024
185	7702	13002
186	7778	13019
187	7844	13017
188	7908	13013
189	8000	13052
190	8045	13016
191	8094	12985
192	8193	13032
193	8319	13121
194	8393	13128
195	8516	13208
196	8760	13474
197	8860	13514
198	8945	13530
199	9003	13505
200	9054	13469
201	9126	13464
202	9184	13437
203	9250	13421
204	9298	13380
205	9348	13342
206	9396	13299
207	9404	13201
208	9440	13144
209	9483	13096
210	9521	13040
211	9557	12983
212	9600	12936
213	9634	12875
214	9671	12820
215	9692	12744
216	9729	12688
217	9736	12595
218	9772	12539
219	9807	12481
220	9842	12425
221	9878	12369
222	9916	12317
223	9947	12257
224	9985	12204
225	10042	12175
226	10073	12114
227	10095	12043
228	10125	11983
229	10154	11920
230	10186	11861
231	10217	11802
232	10248	11744
233	10269	11674
234	10302	11617
235	10333	11559
236	10365	11502
237	10398	11446
238	10429	11389
239	10460	11332
240	10492	11276
241	10533	11230
